Category,Street ID,Street Name,Context,Outcome Category,Outcome Date,Service,Location Subtype,ID,Persistent ID,Epoch,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location
Anti-social behaviour,960562,On or near Doric Way,,,,Police Force,,75266138,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529705.249,182792.762,-0.131546,51.529158,This is only an approximation of where the crime happened,18/02/2021,"(51.529158, -0.131546)"
Anti-social behaviour,960562,On or near Doric Way,,,,Police Force,,75266139,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529705.249,182792.762,-0.131546,51.529158,This is only an approximation of where the crime happened,18/02/2021,"(51.529158, -0.131546)"
Anti-social behaviour,960522,On or near Wellesley Place,,,,Police Force,,75266140,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529707.225,182682.763,-0.131558,51.528169,This is only an approximation of where the crime happened,18/02/2021,"(51.528169, -0.131558)"
Anti-social behaviour,964936,On or near Unity Mews,,,,Police Force,,75266142,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529597.228,183421.705,-0.132871,51.534835,This is only an approximation of where the crime happened,18/02/2021,"(51.534835, -0.132871)"
Anti-social behaviour,964936,On or near Unity Mews,,,,Police Force,,75266143,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529597.228,183421.705,-0.132871,51.534835,This is only an approximation of where the crime happened,18/02/2021,"(51.534835, -0.132871)"
Anti-social behaviour,960533,On or near Polygon Road,,,,Police Force,,75266156,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529600.249,183058.696,-0.132961,51.531572,This is only an approximation of where the crime happened,18/02/2021,"(51.531572, -0.132961)"
Anti-social behaviour,960533,On or near Polygon Road,,,,Police Force,,75266157,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529600.249,183058.696,-0.132961,51.531572,This is only an approximation of where the crime happened,18/02/2021,"(51.531572, -0.132961)"
Anti-social behaviour,960533,On or near Polygon Road,,,,Police Force,,75266158,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529600.249,183058.696,-0.132961,51.531572,This is only an approximation of where the crime happened,18/02/2021,"(51.531572, -0.132961)"
Anti-social behaviour,960561,On or near Drummond Crescent,,,,Police Force,,75266159,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529652.264,182861.734,-0.132284,51.52979,This is only an approximation of where the crime happened,18/02/2021,"(51.52979, -0.132284)"
Anti-social behaviour,964935,On or near Weavers Way,,,,Police Force,,75266166,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529614.232,183959.701,-0.132428,51.539666,This is only an approximation of where the crime happened,18/02/2021,"(51.539666, -0.132428)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265992,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265993,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265994,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265995,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265996,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,960518,On or near Shopping Area,,,,Police Force,,75265997,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Anti-social behaviour,964965,On or near Bergholt Mews,,,,Police Force,,75266845,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529505.239,183999.76,-0.133984,51.540051,This is only an approximation of where the crime happened,18/02/2021,"(51.540051, -0.133984)"
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75266001,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,960537,On or near Midland Road,,,,Police Force,,75266035,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529996.221,183046.782,-0.12726,51.531374,This is only an approximation of where the crime happened,18/02/2021,"(51.531374, -0.12726)"
Anti-social behaviour,960537,On or near Midland Road,,,,Police Force,,75266036,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529996.221,183046.782,-0.12726,51.531374,This is only an approximation of where the crime happened,18/02/2021,"(51.531374, -0.12726)"
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75266037,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75265999,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75266038,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,964990,On or near Goods Way,,,,Police Force,,75266043,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Anti-social behaviour,964990,On or near Goods Way,,,,Police Force,,75266044,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Anti-social behaviour,964990,On or near Goods Way,,,,Police Force,,75266045,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Anti-social behaviour,964990,On or near Goods Way,,,,Police Force,,75266046,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Anti-social behaviour,960537,On or near Midland Road,,,,Police Force,,75266047,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529996.221,183046.782,-0.12726,51.531374,This is only an approximation of where the crime happened,18/02/2021,"(51.531374, -0.12726)"
Anti-social behaviour,960537,On or near Midland Road,,,,Police Force,,75266048,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529996.221,183046.782,-0.12726,51.531374,This is only an approximation of where the crime happened,18/02/2021,"(51.531374, -0.12726)"
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75266000,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,964953,On or near Goldington Crescent,,,,Police Force,,75266842,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529513.203,183434.695,-0.134077,51.534971,This is only an approximation of where the crime happened,18/02/2021,"(51.534971, -0.134077)"
Anti-social behaviour,964953,On or near Goldington Crescent,,,,Police Force,,75266843,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529513.203,183434.695,-0.134077,51.534971,This is only an approximation of where the crime happened,18/02/2021,"(51.534971, -0.134077)"
Anti-social behaviour,964953,On or near Goldington Crescent,,,,Police Force,,75266844,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529513.203,183434.695,-0.134077,51.534971,This is only an approximation of where the crime happened,18/02/2021,"(51.534971, -0.134077)"
Anti-social behaviour,964977,On or near Cranleigh Street,,,,Police Force,,75266859,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529442.242,183204.776,-0.135184,51.532921,This is only an approximation of where the crime happened,18/02/2021,"(51.532921, -0.135184)"
Anti-social behaviour,964955,On or near Crowndale Road,,,,Police Force,,75266860,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529438.244,183467.723,-0.135145,51.535285,This is only an approximation of where the crime happened,18/02/2021,"(51.535285, -0.135145)"
Anti-social behaviour,964883,On or near Camden Street,,,,Police Force,,75266878,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529324.203,183634.733,-0.136727,51.536812,This is only an approximation of where the crime happened,18/02/2021,"(51.536812, -0.136727)"
Anti-social behaviour,964859,On or near Plender Street,,,,Police Force,,75266904,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529324.247,183635.736,-0.136726,51.536821,This is only an approximation of where the crime happened,18/02/2021,"(51.536821, -0.136726)"
Anti-social behaviour,964859,On or near Plender Street,,,,Police Force,,75266905,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529324.247,183635.736,-0.136726,51.536821,This is only an approximation of where the crime happened,18/02/2021,"(51.536821, -0.136726)"
Anti-social behaviour,964863,On or near Mandela Street,,,,Police Force,,75266925,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529325.203,183750.705,-0.13667,51.537854,This is only an approximation of where the crime happened,18/02/2021,"(51.537854, -0.13667)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266948,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266952,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266953,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266956,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266963,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266964,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,964610,On or near York Way,,,,Police Force,,75265495,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530278.243,183818.683,-0.122911,51.538246,This is only an approximation of where the crime happened,18/02/2021,"(51.538246, -0.122911)"
Anti-social behaviour,964835,On or near Parking Area,,,,Police Force,,75266965,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529178.249,183741.735,-0.138791,51.537807,This is only an approximation of where the crime happened,18/02/2021,"(51.537807, -0.138791)"
Anti-social behaviour,960535,On or near Ossulston Street,,,,Police Force,,75266088,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529852.24,182939.726,-0.129374,51.530445,This is only an approximation of where the crime happened,18/02/2021,"(51.530445, -0.129374)"
Anti-social behaviour,964979,On or near Brill Place,,,,Police Force,,75266095,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529875.253,183111.788,-0.128979,51.531986,This is only an approximation of where the crime happened,18/02/2021,"(51.531986, -0.128979)"
Anti-social behaviour,964979,On or near Brill Place,,,,Police Force,,75266096,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529875.253,183111.788,-0.128979,51.531986,This is only an approximation of where the crime happened,18/02/2021,"(51.531986, -0.128979)"
Anti-social behaviour,960535,On or near Ossulston Street,,,,Police Force,,75266097,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529852.24,182939.726,-0.129374,51.530445,This is only an approximation of where the crime happened,18/02/2021,"(51.530445, -0.129374)"
Anti-social behaviour,960535,On or near Ossulston Street,,,,Police Force,,75266121,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529852.24,182939.726,-0.129374,51.530445,This is only an approximation of where the crime happened,18/02/2021,"(51.530445, -0.129374)"
Anti-social behaviour,960567,On or near Churchway,,,,Police Force,,75266122,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529778.237,182755.792,-0.130508,51.528809,This is only an approximation of where the crime happened,18/02/2021,"(51.528809, -0.130508)"
Anti-social behaviour,964991,On or near Chenies Place,,,,Police Force,,75266124,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529784.21,183325.776,-0.130212,51.53393,This is only an approximation of where the crime happened,18/02/2021,"(51.53393, -0.130212)"
Anti-social behaviour,964974,On or near Purchese Street,,,,Police Force,,75266125,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529782.211,183205.773,-0.130285,51.532852,This is only an approximation of where the crime happened,18/02/2021,"(51.532852, -0.130285)"
Bicycle theft,964991,On or near Chenies Place,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75297475,b9b9eb541f16b7f5894b02a76a1e4bb0384f32d88585f7e333e21d2b65a166dc,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529784.21,183325.776,-0.130212,51.53393,This is only an approximation of where the crime happened,18/02/2021,"(51.53393, -0.130212)"
Bicycle theft,964935,On or near Weavers Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75299620,84a95595d8ea230d749908faee12d056c3f4e33922bd70b792f20d5cd322ec38,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529614.232,183959.701,-0.132428,51.539666,This is only an approximation of where the crime happened,18/02/2021,"(51.539666, -0.132428)"
Bicycle theft,964990,On or near Goods Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75299977,42ca55951458056fb2ca9f27a1d1ca93164061dfd09f94c1002a5b1475f29e77,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Bicycle theft,960518,On or near Shopping Area,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75301190,ae84aebdb229ce08cba437c78ec376a4ce089c0793f1e21a7f8ae0bc2b9c46cf,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530057.209,183063.699,-0.126375,51.531512,This is only an approximation of where the crime happened,18/02/2021,"(51.531512, -0.126375)"
Bicycle theft,960542,On or near Judd Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75296386,fc6d399491f081b0ec932959002222c6e87e1e314dc43ded35d957e1bf67b1a7,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Bicycle theft,964958,On or near College Grove,,Court result unavailable,12/01/2019 12:00:00 AM,Police Force,,75296230,f447640d7531691841cb2dad715fc22c8b5a301b62568f5a20ac583d5666170c,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529548.193,183776.752,-0.133447,51.538037,This is only an approximation of where the crime happened,18/02/2021,"(51.538037, -0.133447)"
Bicycle theft,964662,On or near Petrol Station,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75294462,1aa99761e37074d4b05e0092b149dea4d98237b3910a504041f8b96ada095d75,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530303.191,183476.709,-0.122678,51.535167,This is only an approximation of where the crime happened,18/02/2021,"(51.535167, -0.122678)"
Bicycle theft,964980,On or near Bridgeway Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75294306,d436a7919e71c2a4425308ae654fdb2085e0af0b7e302e8f944c350e87a48803,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529501.226,183188.697,-0.13434,51.532763,This is only an approximation of where the crime happened,18/02/2021,"(51.532763, -0.13434)"
Bicycle theft,960542,On or near Judd Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75340423,224319b10b21058cd1ddda35bab385d73187850f5f106bf817887bf4f81248c9,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Bicycle theft,964990,On or near Goods Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75310377,7b47fa5807fab99415f70cf9acbad8dbce40c42b754d695d95918efaa9e970f2,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530029.24,183277.741,-0.126699,51.533442,This is only an approximation of where the crime happened,18/02/2021,"(51.533442, -0.126699)"
Bicycle theft,1486721,St Pancras International (station),,,,British Transport Police,Station,89438968,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530079.709,183174.214,-0.12601,51.5325,This is only an approximation of where the crime happened,18/02/2021,"(51.5325, -0.12601)"
Bicycle theft,960542,On or near Judd Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75329083,e073916d86a368cc129e80e9f50f208d7cf89889f9ba48b092453343397b4630,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Burglary,960535,On or near Ossulston Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75281924,bb28975bbdad9c67da42ec73048eec5e40776eb106af954cde6571f993a95395,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529852.24,182939.726,-0.129374,51.530445,This is only an approximation of where the crime happened,18/02/2021,"(51.530445, -0.129374)"
Burglary,964951,On or near Granary Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75304427,72b80d84cc700db995e2ddc62398ca11faaf86deefb97aed12b35de5b140e9ec,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529735.215,183678.709,-0.130788,51.537113,This is only an approximation of where the crime happened,18/02/2021,"(51.537113, -0.130788)"
Burglary,964960,On or near Cedar Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75324763,0c1085949d3f71d425cb65459cf18e8a19d6e5ca294bef6cf5990befba84d486,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529720.206,184010.699,-0.130882,51.5401,This is only an approximation of where the crime happened,18/02/2021,"(51.5401, -0.130882)"
Burglary,1489515,Kings Cross (station),,,,British Transport Police,Station,89438711,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530277.361,183101.387,-0.123189,51.5318,This is only an approximation of where the crime happened,18/02/2021,"(51.5318, -0.123189)"
Burglary,960541,On or near Mabledon Place,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75330249,895bcd4891c122ef06550d137a9ea9f3d6d16025afcc6099be58997b52602e7c,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529961.233,182721.746,-0.127884,51.528461,This is only an approximation of where the crime happened,18/02/2021,"(51.528461, -0.127884)"
Burglary,960569,On or near Chalton Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75339574,30742992554916d42d1b70aca4a625efc74e718249e38f1b0c91889b8be57268,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529660.2,183053.773,-0.132099,51.531514,This is only an approximation of where the crime happened,18/02/2021,"(51.531514, -0.132099)"
Burglary,964940,On or near St Pancras Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75282187,06a86a5473e6677a3da2f8026a1f2048623815fb327062a0cad6ad1cd1c5d34b,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529512.197,183865.742,-0.133933,51.538845,This is only an approximation of where the crime happened,18/02/2021,"(51.538845, -0.133933)"
Burglary,923834,On or near Royal College Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75293761,7bb6e8e4f3399084c97514a85e39bf890c24ebfba9677f3de797833e104f1a3b,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529425.244,183770.724,-0.135221,51.538011,This is only an approximation of where the crime happened,18/02/2021,"(51.538011, -0.135221)"
Burglary,1489515,Kings Cross (station),,,,British Transport Police,Station,89438712,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530277.361,183101.387,-0.123189,51.5318,This is only an approximation of where the crime happened,18/02/2021,"(51.5318, -0.123189)"
Burglary,960903,On or near Pedestrian Subway,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75296192,6152403c7c6d6714de4a87a1e864874dc42c843e9880c750e045fd4de79d586e,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530190.233,182961.73,-0.124496,51.530565,This is only an approximation of where the crime happened,18/02/2021,"(51.530565, -0.124496)"
Burglary,960542,On or near Judd Street,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75348844,d9fe9bcf524a720a3863538673c96cc4b183c94689ec956b831f03374e1115d7,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Criminal damage and arson,960522,On or near Wellesley Place,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75335697,f90bbe3291810b70b9ff21d65256b195f69fbd55753002839453200e09d68be4,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529707.225,182682.763,-0.131558,51.528169,This is only an approximation of where the crime happened,18/02/2021,"(51.528169, -0.131558)"
Criminal damage and arson,1489515,Kings Cross (station),,,,British Transport Police,Station,89438718,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530277.361,183101.387,-0.123189,51.5318,This is only an approximation of where the crime happened,18/02/2021,"(51.5318, -0.123189)"
Criminal damage and arson,964610,On or near York Way,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75335978,483ebe3055b01896a598c8056a9d6ba92d143f371d5150599dba72a3d2484863,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530278.243,183818.683,-0.122911,51.538246,This is only an approximation of where the crime happened,18/02/2021,"(51.538246, -0.122911)"
Criminal damage and arson,964979,On or near Brill Place,,Status update unavailable,09/01/2019 12:00:00 AM,Police Force,,75329503,7293ef155298c13231c0f83901ade22ff7e67d51815a3c404bc77dc4e4682eb8,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529875.253,183111.788,-0.128979,51.531986,This is only an approximation of where the crime happened,18/02/2021,"(51.531986, -0.128979)"
